,index,citax_2022,citax_ref_2022,citax_ref_2023,citax_ref_2024,citax_ref_2025,citax_ref_2026,citax_ref_2027,citax_ref_2028
0, 0-10n,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0
3, 10-20,0,0,0,0,0,0,0,0
4, 20-30,0,0,0,0,0,0,0,0
5, 30-40,0,0,0,0,0,0,0,0
6, 40-50,0,0,0,0,0,0,0,0
7, 50-60,0,0,0,0,0,0,0,0
8, 60-70,15,15,16,17,18,19,20,22
9, 70-80,366,366,387,409,432,456,482,508
10, 80-90,"1,859","1,859","1,960","2,066","2,177","2,294","2,417","2,545"
11, 90-100,"40,044","40,044","42,139","44,339","46,648","49,073","51,620","54,293"
12, ALL,"4,229","4,229","4,451","4,683","4,928","5,185","5,454","5,737"
13, 90-95,"6,419","6,419","6,758","7,114","7,487","7,879","8,291","8,723"
14, 95-99,"25,037","25,037","26,337","27,704","29,138","30,645","32,227","33,888"
15, Top 1%,"267,726","267,726","281,750","296,475","311,937","328,171","345,218","363,116"
