,index,citax_2022,citax_ref_2022,citax_ref_2023,citax_ref_2024,citax_ref_2025,citax_ref_2026,citax_ref_2027,citax_ref_2028
0,<0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0
2,0-5m,"106,787,991","106,787,991","110,488,222","116,193,787","121,365,037","127,102,981","130,096,403","133,957,494"
3,5-10m,"9,218,546","9,218,546","11,591,396","11,538,733","12,136,790","12,307,077","14,739,086","18,393,640"
4,10-15m,"7,358,343","7,358,343","6,195,466","7,230,135","8,482,834","7,511,780","9,706,313","7,484,786"
5,15-20m,"6,233,016","6,233,016","8,075,462","6,622,648","4,928,866","5,550,655","4,418,414","7,346,178"
6,20-30m,"7,757,959","7,757,959","8,260,282","10,644,307","13,315,863","16,156,661","15,710,036","13,056,089"
7,30-40m,"7,193,541","7,193,541","7,553,218","3,938,496",0,0,"2,778,657","6,471,464"
8,40-50m,0,0,0,"3,992,383","8,327,423","8,743,794","9,180,984","9,640,033"
9,50-100m,0,0,0,0,0,0,0,0
10,100-500m,"14,143,977","14,143,977","14,851,176","15,593,735","16,373,422","17,192,093","18,051,698","18,954,283"
11,500m-1bn,0,0,0,0,0,0,0,0
12,>1bn,0,0,0,0,0,0,0,0
13,ALL,"158,693,374","158,693,374","167,015,222","175,754,225","184,930,233","194,565,042","204,681,590","215,303,967"
