,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028
0, 0-10n,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0
3, 10-20,0,0,0,0,0,0,0,0
4, 20-30,0,0,0,0,0,0,0,0
5, 30-40,16,16,16,16,16,16,16,16
6, 40-50,116,116,116,116,116,116,116,116
7, 50-60,303,303,303,303,303,303,303,303
8, 60-70,662,662,662,662,662,662,662,662
9, 70-80,"1,367","1,367","1,367","1,367","1,367","1,367","1,367","1,367"
10, 80-90,"3,096","3,096","3,096","3,096","3,096","3,096","3,096","3,096"
11, 90-100,"17,657","17,657","17,657","17,657","17,657","17,657","17,657","17,657"
12, ALL,"2,322","2,322","2,322","2,322","2,322","2,322","2,322","2,322"
13, 90-95,"6,974","6,974","6,974","6,974","6,974","6,974","6,974","6,974"
14, 95-99,"16,794","16,794","16,794","16,794","16,794","16,794","16,794","16,794"
15, Top 1%,"74,426","74,426","74,426","74,426","74,426","74,426","74,426","74,426"
