,index,pitax_2022,pitax_ref_2022,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028
0,<0,0,0,0,0,0,0,0,0
1,=0,"696,633","696,633","696,633","696,633","696,633","696,633","696,633","696,633"
2,0-10000,"4,696,755","4,696,755","4,696,755","4,696,755","4,696,755","4,696,755","4,696,755","4,696,755"
3,10000-50000,"3,856,857","3,856,857","3,856,857","3,856,857","3,856,857","3,856,857","3,856,857","3,856,857"
4,50000-100000,"3,946,912","3,946,912","3,946,912","3,946,912","3,946,912","3,946,912","3,946,912","3,946,912"
5,100000-200000,"2,457,971","2,457,971","2,457,971","2,457,971","2,457,971","2,457,971","2,457,971","2,457,971"
6,200000-300000,"1,293,358","1,293,358","1,293,358","1,293,358","1,293,358","1,293,358","1,293,358","1,293,358"
7,300000-400000,"997,113","997,113","997,113","997,113","997,113","997,113","997,113","997,113"
8,400000-500000,"1,462,780","1,462,780","1,462,780","1,462,780","1,462,780","1,462,780","1,462,780","1,462,780"
9,500000-700000,"1,625,887","1,625,887","1,625,887","1,625,887","1,625,887","1,625,887","1,625,887","1,625,887"
10,700000-1000000,"2,236,216","2,236,216","2,236,216","2,236,216","2,236,216","2,236,216","2,236,216","2,236,216"
11,1000000-2000000,"851,443","851,443","851,443","851,443","851,443","851,443","851,443","851,443"
12,>2000000,0,0,0,0,0,0,0,0
13,ALL,"24,121,926","24,121,926","24,121,926","24,121,926","24,121,926","24,121,926","24,121,926","24,121,926"
