id_n,Year,Gender,City,TaxpayerType,companytype,Activity,entactivitycode,SectorDescription,Size,gross_wage,net_income_business,net_income_partnership,gross_rents,gross_i_interest_pen_pay,gross_i_interest,gross_i_inta_prop,capital_gain,foreign_s_inc,other_inc_gifts,total_inc,ded_rents_expen_rents10pct,ded_pen_cont,ded_exp_int_prop,other_allowed_ded,total_ded,taxable_amount,loss_carried_for,dis_charity_contribution,tot_additional_ded,taxable_inc_before_tax,tax_on_tax_inc_bracket,tax_withheld_wage_employer,tax_withheld_wage_interest,tax_withheld_rents,tax_witheld_lottery_gains,foreign_tax_credit,total_witheld_credit,total_pay_for,q_advance_business_inc,q_payment_ren_inc_int_prop,total_advance_payment,total_tax_payable,amount_due,sector,companytype_en
1,2022,M,GJILAN,BIZNES,Individual,"Tregtia me pakicë e këpucëve dhe artikujve prej lëkure, në dyqane të specializuara",4772,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,2,0.0,-6883.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6883.76,0.0,0.0,0.0,0.0,0.0,-6883.76,0.0,0.0,0.0,-6883.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0,150.0,0.0,0.0,47,Individual
2,2022,F,PRISHTINË,BIZNES,Individual,Arsimi parashkollor ,8510,Arsimi,2,0.0,675.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675.07,0.0,240.0,0.0,0.0,240.0,435.07,0.0,0.0,0.0,435.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,48.0,0.0,0.0,85,Individual
3,2022,M,PRIZREN,BIZNES,Individual,Aktvitetet e autoshkollave,8553,Arsimi,2,0.0,6902.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6902.0,0.0,0.0,0.0,0.0,0.0,6902.0,0.0,0.0,0.0,6902.0,423.8,0.0,0.0,0.0,0.0,0.0,0.0,423.8,600.0,0.0,600.0,0.0,0.0,85,Individual
4,2022,M,SADOVINË E JERLIVE,BIZNES,Individual,Ndërtimi i objekteve banesore dhe jobanesore,4120,Ndertimtaria,3,0.0,535.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.71,0.0,0.0,0.0,0.0,0.0,535.71,0.0,0.0,0.0,535.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.26,0.0,1115.26,0.0,0.0,41,Individual
5,2022,M,LUBIZHDË,PERSON FIZIK,Person fizik,SHITES,10000,Person Fizik,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,
6,2022,,KAMENICË,PERSON FIZIK,Person fizik,Person fizik,10000,Person Fizik,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.25,0.0,75.25,0.0,0.0,0.0,0.0,0.0,75.25,0.0,0.0,0.0,75.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,
7,2022,M,FERIZAJ,BIZNES,Individual,Tregtia me shumicë e veshjeve dhe këpucëve,4642,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,3,0.0,5082.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5082.56,0.0,204.0,0.0,0.0,204.0,4878.56,0.0,0.0,0.0,4878.56,231.88,0.0,0.0,0.0,0.0,0.0,0.0,231.88,249.68,0.0,249.68,0.0,0.0,46,Individual
8,2022,M,FUSHË KOSOVË,BIZNES,Individual,Agjencitë për publicitet,7311,"Aktivitetet profesionale, shkencore dhe teknike",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73,Individual
9,2022,M,PRISHTINË,BIZNES,Individual,Aktivitetet e programimit kompjuterik ,6201,Informimi dhe komunikimi,3,0.0,137229.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137229.64,0.0,0.0,0.0,0.0,0.0,137229.64,0.0,0.0,0.0,137229.64,13456.56,0.0,0.0,0.0,0.0,0.0,0.0,13456.56,13456.56,0.0,13456.56,0.0,0.0,62,Individual
10,2022,F,PRISHTINË,BIZNES,Individual,Aktivitetet shërbyese të pijeve,5630,Akomodimi dhe sherbimi ushqimor,2,0.0,-26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26.23,0.0,204.0,0.0,0.0,204.0,-230.23,0.0,0.0,0.0,-230.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56,Individual
