,index,totax_2022,totax_ref_2022,totax_ref_2023,totax_ref_2024,totax_ref_2025,totax_ref_2026,totax_ref_2027,totax_ref_2028
0,<0,0,0,0,0,0,0,0,0
1,=0,"4,590,935","4,590,935","4,606,104","4,622,032","4,638,757","4,656,317","4,674,756","4,694,116"
2,0-10000,"487,537","487,537","480,849","469,369","451,140","433,015","396,682","386,837"
3,1000 - 50000,"4,833,685","4,833,685","4,777,848","4,765,391","4,773,350","4,672,109","4,636,701","4,582,313"
4,50000 - 100000,"5,853,802","5,853,802","5,996,839","6,031,744","6,067,606","6,141,380","6,153,311","6,098,030"
5,100000 - 200000,"4,752,802","4,752,802","5,349,817","6,020,237","6,727,927","7,499,126","8,299,032","9,202,589"
6,200000 - 300000,"308,548","308,548","431,725","537,334","684,523","819,169","1,028,771","1,202,286"
7,300000 - 400000,"182,940","182,940","128,576","137,138","141,089","209,397","235,249","265,089"
8,400000 - 500000,"113,376","113,376","100,828","152,021","171,909","177,380","198,251","164,099"
9,500000 - 600000,"61,650","61,650","155,910","178,813","169,231","137,809","33,873","110,322"
10,600000 - 700000,"59,799","59,799","20,257",0,"18,522","74,936","189,510","195,906"
11,700000 - 800000,"22,337","22,337","65,985","65,929","69,225","23,450",0,"21,441"
12,> 800000,"28,953","28,953","30,400","56,547","59,374","111,579","141,780","148,869"
13,ALL,"21,296,364","21,296,364","22,145,140","23,036,555","23,972,654","24,955,667","25,987,916","27,071,900"
